+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+
| Non-Terminal  | !=            | $             | %             | &&            | *             | +             | -             | /             | 0             | 1             | 2             | 3             | 4             | 5             | 6             | 7             | 8             | 9             | :             | :=            | <             | <rest_arguments>| =             | =:=           | >             | >>            | [             | [+-]?         | [a-zA-Z]      | ]             | ]:            | _             | agar          | asm           | auto          | bool          | break         | case          | catch         | char          | class         | const         | continue      | default       | delete        | do            | double        | else          | enum          | explicit      | export        | extern        | false         | float         | for           | friend        | goto          | if            | inline        | int           | long          | loop          | magar         | mutable       | namespace     | new           | operator      | private       | protected     | public        | register      | return        | short         | signed        | sizeof        | static        | struct        | switch        | this          | throw         | true          | try           | typedef       | typeid        | typename      | union         | unsigned      | using         | virtual       | void          | volatile      | while         | {             | ||            | }             | }]            | ε            |
+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+
| <program>     |  <program>'   | sync          |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   | -             |  <program>'   | -             |  <program>'   | -             |  <program>'   |  <program>'   |  <program>'   | <number>      |  <program>'   |  <program>'   | -             |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   | -             | -             |
| <assignment>  | -             | sync          | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | sync          | sync          |  <identifier> =:= <expression> :| -             | -             |  <identifier> =:= <expression> :| sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | -             | -             | -             | -             | -             |
| <return_statement>| -             | sync          | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | sync          | sync          | sync          | -             | -             | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          |  return <expression> :| sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | -             | -             | -             | -             | -             |
| <function_call>| -             | sync          | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | sync          | sync          |  <identifier> [ <arguments> ]:| -             | -             |  <identifier> [ <arguments> ]:| sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | -             | -             | -             | -             | -             |
| <equalOpRest> | -             | sync          | -             | -             | -             |  <equalOpRest>'| -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             |  <equalOpRest>'|  <equalOpRest>'| -             |  <equalOpRest>'| -             |  <equalOpRest>'| -             | sync          | sync          | sync          | -             | -             | sync          | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             |  <equalOpRest>'|
| <arguments>   | -             | sync          | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             |  <expression> <rest_arguments>|  <expression> <rest_arguments>|  <expression> <rest_arguments>| -             | sync          |  <expression> <rest_arguments>| -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             |
| <expression>  | -             | sync          | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | sync          | -             | -             | sync          | -             | -             | -             | -             |  <term> <rest_expression> |  <term> <rest_expression> |  <term> <rest_expression> | sync          | -             |  <term> <rest_expression> | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             |
| <rest_expression>|  <rest_expression>'| sync          |  <rest_expression>'|  <rest_expression>'|  <rest_expression>'|  <rest_expression>'|  <rest_expression>'|  <rest_expression>'| -             | -             | -             | -             | -             | -             | -             | -             | -             | -             |  <rest_expression>'| -             |  <rest_expression>'| sync          |  <rest_expression>'| -             | -             |  <rest_expression>'| -             | -             | -             | sync          | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             |  <rest_expression>'| -             | -             |  <rest_expression>'|
| <start_identifier>'| -             | -             | -             | -             | -             | -             | -             | -             | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | <letter>      | -             | -             | _             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | sync          |
| <identifier>  | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | sync          | -             | sync          | -             | sync          | sync          | -             | sync          | sync          | -             |  <start_identifier> <identifier_tail>| -             | -             |  <start_identifier> <identifier_tail>| -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | sync          | -             | -             | sync          |
| <greaterOp>   | -             | sync          | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             |  <greaterOp>' | -             | -             | -             |  <greaterOp>' | -             | sync          | sync          | sync          | -             | -             | sync          | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             |  <greaterOp>' |
