+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+
| Non-Terminal  | !=            | $             | %             | &&            | *             | +             | -             | /             | 0             | 1             | 2             | 3             | 4             | 5             | 6             | 7             | 8             | 9             | :             | :=            | <             | <rest_arguments>| =             | =:=           | >             | >>            | [             | [+-]?         | [a-zA-Z]      | ]             | ]:            | _             | agar          | asm           | auto          | bool          | break         | case          | catch         | char          | class         | const         | continue      | default       | delete        | do            | double        | else          | enum          | explicit      | export        | extern        | false         | float         | for           | friend        | goto          | if            | inline        | int           | long          | loop          | magar         | mutable       | namespace     | new           | operator      | private       | protected     | public        | register      | return        | short         | signed        | sizeof        | static        | struct        | switch        | this          | throw         | true          | try           | typedef       | typeid        | typename      | union         | unsigned      | using         | virtual       | void          | volatile      | while         | {             | ||            | }             | }]            | ε            |
+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+
| <program>     |  <program>'   | sync          |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   | -             |  <program>'   | -             |  <program>'   | -             |  <program>'   |  <program>'   |  <program>'   | <number>      |  <program>'   |  <program>'   | -             |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   | -             | -             |
| <start_identifier>| -             | -             | -             | -             | -             | -             | -             | -             | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             |  <start_identifier>'| -             | -             |  <start_identifier>'| -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | sync          |
| <identifier_tail>| sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          |  <identifier_tail>'|  <identifier_tail>'|  <identifier_tail>'|  <identifier_tail>'|  <identifier_tail>'|  <identifier_tail>'|  <identifier_tail>'|  <identifier_tail>'|  <identifier_tail>'|  <identifier_tail>'| sync          | -             | sync          | -             | sync          | sync          | -             | sync          | sync          | -             |  <identifier_tail>'| -             | -             |  <identifier_tail>'| -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | sync          | -             | -             |  <identifier_tail>'|
| <rest_identifier_tail>| sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          |  <rest_identifier_tail>'|  <rest_identifier_tail>'|  <rest_identifier_tail>'|  <rest_identifier_tail>'|  <rest_identifier_tail>'|  <rest_identifier_tail>'|  <rest_identifier_tail>'|  <rest_identifier_tail>'|  <rest_identifier_tail>'|  <rest_identifier_tail>'| sync          | -             | sync          | -             | sync          | sync          | -             | sync          | sync          | -             |  <rest_identifier_tail>'| -             | -             |  <rest_identifier_tail>'| -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | sync          | -             | -             |  <rest_identifier_tail>'|
| <letter>      | -             | sync          | -             | -             | -             | -             | -             | -             | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             |  [a-zA-Z]     | -             | -             | sync          | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | sync          |
| <number>      | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | sync          | -             | sync          | -             | sync          | -             | -             | sync          | -             |  [+-]? <digit>+ [ . <digit>+] [ e [+-]? <digit>+]| -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | sync          | -             | -             | sync          |
| <digit>       | -             | sync          | -             | -             | -             | -             | -             | -             |  <digit>'     |  <digit>'     |  <digit>'     |  <digit>'     |  <digit>'     |  <digit>'     |  <digit>'     |  <digit>'     |  <digit>'     |  <digit>'     | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | sync          | -             | -             | sync          | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | sync          |
| <colonOp>'    | -             | sync          | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | :             | -             | -             | -             | -             | -             | -             | -             | sync          | sync          | sync          | -             | -             | sync          | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | ε            |
| <operator>    |  <operator>'  | sync          |  <operator>'  |  <operator>'  |  <operator>'  |  <operator>'  |  <operator>'  |  <operator>'  | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             |  <operator>'  | -             |  <operator>'  | -             |  <operator>'  | -             | -             |  <operator>'  | sync          | sync          | sync          | -             | -             | sync          | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             |  <operator>'  | -             | -             | -             |
| <MinusOp>     | -             | sync          | -             | -             | -             | -             |  <MinusOp>'   | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | sync          | sync          | sync          | -             | -             | sync          | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             |  <MinusOp>'   |
| <colonOp>     | -             | sync          | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             |  <colonOp>'   | -             | -             | -             | -             | -             | -             | -             | sync          | sync          | sync          | -             | -             | sync          | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             |  <colonOp>'   |
| <punctuation> | -             | sync          | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             |  <punctuation>'| -             | -             | -             |  <punctuation>'| -             |  <punctuation>'| -             | -             |  <punctuation>'| -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             |  <punctuation>'| -             |  <punctuation>'| -             | -             |
| <type>        | -             | sync          | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | sync          | sync          | sync          | -             | -             | sync          |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      |  <type>'      | -             | -             | -             | -             | -             |
| <rest_identifier_tail>'| sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | <identifier_tail>| <identifier_tail>| <identifier_tail>| <identifier_tail>| <identifier_tail>| <identifier_tail>| <identifier_tail>| <identifier_tail>| <identifier_tail>| <identifier_tail>| sync          | -             | sync          | -             | sync          | sync          | -             | sync          | sync          | -             | <identifier_tail>| -             | -             | <identifier_tail>| -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | sync          | -             | -             | ε            |
| <keyword>     | -             | sync          | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | sync          | sync          | sync          | -             | -             | sync          |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   |  <keyword>'   | -             | -             | -             | -             | -             |
| <term>'       | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | sync          | -             | sync          | -             | sync          | -             | -             | sync          | [ <expression> ]| <number>      | <identifier>  | -             | -             | <identifier>  | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | sync          | -             | -             | sync          |
| <PlusOp>'     | -             | sync          | -             | -             | -             | +             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | sync          | sync          | sync          | -             | -             | sync          | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | ε            |
| <statement>'  | -             | sync          | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | <expression> :| <expression> :| <function_call>| -             | -             | <function_call>| <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <return_statement>| <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | -             | -             | -             | -             | -             |
| <equalOpRest>'| -             | sync          | -             | -             | -             | +             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | :=            | <             | -             | =             | -             | >             | -             | sync          | sync          | sync          | -             | -             | sync          | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | ε            |
| <rest_expression>'| <operator> <expression>| sync          | <operator> <expression>| <operator> <expression>| <operator> <expression>| <operator> <expression>| <operator> <expression>| <operator> <expression>| -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | <operator> <expression>| -             | <operator> <expression>| sync          | <operator> <expression>| -             | -             | <operator> <expression>| -             | -             | -             | sync          | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | <operator> <expression>| -             | -             | ε            |
| <greaterOp>'  | -             | sync          | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | <             | -             | -             | -             | >             | -             | sync          | sync          | sync          | -             | -             | sync          | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | ε            |
| <identifier_tail>'| sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | <digit> <rest_identifier_tail>| <digit> <rest_identifier_tail>| <digit> <rest_identifier_tail>| <digit> <rest_identifier_tail>| <digit> <rest_identifier_tail>| <digit> <rest_identifier_tail>| <digit> <rest_identifier_tail>| <digit> <rest_identifier_tail>| <digit> <rest_identifier_tail>| <digit> <rest_identifier_tail>| sync          | -             | sync          | -             | sync          | sync          | -             | sync          | sync          | -             | <letter> <rest_identifier_tail>| -             | -             | _ <rest_identifier_tail>| -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | sync          | -             | -             | ε            |
| <digit>'      | -             | sync          | -             | -             | -             | -             | -             | -             | 0             | 1             | 2             | 3             | 4             | 5             | 6             | 7             | 8             | 9             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | sync          | -             | -             | sync          | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | sync          |
| <operator>'   | !=            | sync          | %             | &&            | *             | + <PlusOp>    | - <MinusOp>   | /             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | : <colonOp>   | -             | < <greaterOp> | -             | = <equalOpRest>| -             | -             | >>            | sync          | sync          | sync          | -             | -             | sync          | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | ||            | -             | -             | -             |
| <punctuation>'| -             | sync          | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | <             | -             | -             | -             | >             | -             | [             | -             | -             | ]             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | {             | -             | }             | -             | -             |
| <type>'       | -             | sync          | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | sync          | sync          | sync          | -             | -             | sync          | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | <keyword>     | -             | -             | -             | -             | -             |
+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+
